business_name,industry,priority,address,city,zip,phone,email,website,why_deleted
Tri State Flooring,Flooring,C,7328 Sawyer Rd,Signal Mountain,37377,(423) 593-0116,Not publicly available,Not publicly available,"NOT CONFIRMED: no official site or business-run page found for a Tri State Flooring on Signal Mountain; the Tri-State Flooring pages that exist are in Memphis, Alabama and South Dakota. Needs a live check of 423-593-0116."
31W Insulation,Insulation,A,3211 N Orchard Knob Ave,Chattanooga,37406,877-241-4563,Not publicly available,31winsulation.com,"NOT CONFIRMED after a second attempt on both 31winsulation.com and 31-w.com: neither returns a Chattanooga branch. The 877 number in the sheet is a national line, not a local one. Needs a live call before working."
SC Electric,Electrical Contractor,C,8830 Dallas Hollow Rd,Hixson,37343,(423) 269-7777,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for SC Electric in Hixson. Needs a live check of 423-269-7777.
Tower Services Inc,Electrical Contractor,C,1012 Hickory Ave,Hixson,Not publicly available,(423) 843-2363,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Tower Services Inc in Hixson; tower-services.com belongs to an unrelated agricultural firm in North Carolina. Needs a live check of 423-843-2363.
North River Electric,Electrical Contractor,C,8263 Oxford Dr,Hixson,Not publicly available,(423) 605-0694,Not publicly available,northriverelectric.com,"A northriverelectric.com site exists but publishes no contact details and does not state a Hixson location, so it is not confirmed as this company. Needs a live check."
423 HVAC,HVAC,A,7219 Fairbanks Rd,Hixson,37343,(423) 903-1192,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this name in Hixson. Needs a live check of 423-903-1192.
P&S Plumbing,Plumbing,B,1365 Osage Dr,Soddy-Daisy,37379,(423) 294-1408,Not publicly available,Not publicly available,NOT CONFIRMED: a P & S Plumbing page exists but nothing ties it to Soddy-Daisy; the other P&S Plumbing results are in Hawaii and Texas. Needs a live check of 423-294-1408.
Precise Plumbing,Plumbing,B,2326 Stonesage Rd,Soddy-Daisy,37379,(423) 843-0124,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Precise Plumbing in Soddy-Daisy. Needs a live check of 423-843-0124. Note the Hixson row of the same name is also unconfirmed - they may be one business or neither.
Twin City Self Storage,Self-Storage,C,10832 Dayton Pike,Soddy-Daisy,37379,(423) 451-9933,Not publicly available,Not publicly available,NOT CONFIRMED: a Twin City Self Storage page exists but no Soddy-Daisy location surfaced; the named ones are in Illinois and Alabama. Needs a live check of 423-451-9933.
Red Bank Auto Electric Inc,Auto Repair (Electrical),B,3003 Dayton Blvd,Red Bank,37415,(423) 877-5215,Not publicly available,Not publicly available,"NOT CONFIRMED after two attempts: no business-run page under this name in Red Bank. Other Dayton Blvd auto businesses surface, but not this one. Needs a live call to 423-877-5215."
8 Point Trucking,Trucking,B,5666 Tucker Road,Collegedale,37315,423-421-5921,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this name in Collegedale. Needs a live check of 423-421-5921.
Teddys Transportation LLC,Trucking,B,"5006 University Dr W, Unit 1061",Collegedale,37315,423-503-0258,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Teddys Transportation LLC in Collegedale. Needs a live check of 423-503-0258.
"Varnell Construction Company, Inc.",General Contractor,A,5719 Highway 58,Harrison,37341,(423) 344-8365,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Varnell Construction in Harrison. Needs a live check of 423-344-8365.
Wall Construction Co,General Contractor,B,5732 Highway 58,Harrison,37341,(423) 344-7494,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Wall Construction Co in Harrison. Needs a live check of 423-344-7494.
Broadway Electric Service Corp,Electrical Contractor,B,401 Fern Trl,Signal Mountain,37377,(423) 886-7556,Not publicly available,Not publicly available,NOT CONFIRMED after a second attempt on besc.com and broadwayelectricservice.com: neither returns anything. broadwayelectric.com is an unrelated Illinois firm. Needs a live call to 423-886-7556.
Marispan Property Management,Property Management,C,4415 W Hassler Rd,Signal Mountain,37377,(423) 886-7392,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this name; the spelling may be wrong. Needs a live check of 423-886-7392.
Parham Landscaping,Landscaping,B,1 Irving Place,Lookout Mountain,37350,(423) 825-5502,Not publicly available,Not publicly available,NOT CONFIRMED after two attempts: no page or site under this name on Lookout Mountain or in Chattanooga. Needs a live call to 423-825-5502.
Tree Busters Tree Service,Tree Service,B,223 Leggett Rd,Sale Creek,37373,(423) 503-0949,Not publicly available,Not publicly available,NOT CONFIRMED after a second attempt: no business-run page for Tree Busters in Sale Creek or Soddy-Daisy; the only Tree Busters page found is in Massachusetts. The website originally on this row belonged to Nabor's Tree Service. Needs a live call to 423-503-0949.
"Tennessee Roofing & Construction, Inc.",Roofing / Construction,A,8427 Hixson Pike,Hixson,37343,(423) 842-8826,Not publicly available,Not publicly available,"NOT CONFIRMED after a second attempt: no official site or business-run page for Tennessee Roofing & Construction in Hixson, and tennesseeroofing.com is an 865-number Knoxville firm. Needs a live call to 423-842-8826."
Northwest Exterminating (Hixson),Pest Control,A,1906 Hamill Rd,Hixson,37343,(423) 877-0111,Not publicly available,Not publicly available,WEBSITE WRONG: northwestexterminating.com returns nothing for this branch; the company's real domain is callnorthwest.com. Removed. This row also likely duplicates the Northwest Exterminating row for Ooltewah - check before keeping both.
Precise Plumbing (Hixson),Plumbing,B,"8011 Hixson Pike, Ste B",Hixson,37343,(423) 843-0124,Not publicly available,Not publicly available,"WEBSITE WRONG: preciseplumbing.com is a Los Angeles company (323/818 numbers), not the Hixson business. Removed. Also likely duplicates the Precise Plumbing row for Soddy-Daisy - check before keeping both."
Hixson Auto Sales,Used Car Dealer,B,5469 Hixson Pike,Hixson,37343,(423) 847-6530,Not publicly available,Not publicly available,"NOT CONFIRMED: the only Hixson Auto Sales found is in Pine Bluff, Arkansas. No official site or business-run page for a Hixson TN dealer under this name. Needs a live check of 423-847-6530."
Grant-Neil Electric,Electrical Contractor,A,6117 Dayton Blvd,Hixson,37343,(423) 843-3391,Not publicly available,Not publicly available,NOT CONFIRMED after two attempts: no page or site under this name; many other Chattanooga electrical contractors surface but not this one. Needs a live call to 423-843-3391.
Allied Electrical & Control,Electrical Contractor,A,8800 Consolidated Dr,Soddy-Daisy,37379,(423) 877-7421,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for Allied Electrical & Control in Soddy-Daisy. Needs a live check of 423-877-7421.
Chattanooga Professional Painters,Painting Contractor,B,8006 Freeport Dr,Soddy-Daisy,37379,(423) 842-3008,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this exact name; the searches only surfaced other Chattanooga painting firms. Needs a live check of 423-842-3008.
Wilkey Roofing,Roofing Contractor,A,317 Walnut Cir,Soddy-Daisy,37379,(423) 332-6710,Not publicly available,Not publicly available,NOT CONFIRMED after two attempts: a Wilkey Roofing page exists but publishes nothing and no location is stated. Needs a live call to 423-332-6710.
Petra Roofing & Siding,Roofing / Siding Contractor,A,10903 Daffodil Cir,Soddy-Daisy,37379,(423) 593-1816,Not publicly available,Not publicly available,"NOT CONFIRMED after a second attempt: petraexteriors.com is a Nashville contractor (licence #80976) with no Chattanooga service area listed, so it is not this business. Needs a live call to 423-593-1816."
R&A Catering,Catering,B,1983 Breeze Dr,Soddy-Daisy,37379,(423) 598-8855,Not publicly available,Not publicly available,"NOT CONFIRMED: the only R&A Catering found is in Monaca, Pennsylvania. No official site or business-run page for a Soddy-Daisy operation. Needs a live check of 423-598-8855."
ETN Cleaning Services,Commercial / Residential Cleaning,B,8890 Hunt St STE 200,Soddy-Daisy,37379,(423) 883-7978,Not publicly available,Not publicly available,NOT CONFIRMED: the only ETN Cleaning Services found is in South Africa. No official site or business-run page for a Soddy-Daisy operation. Needs a live check of 423-883-7978.
Kiddie Kampus,Child Care / Daycare,B,4829 College Dr E,Collegedale,37315,(423) 396-9253,Not publicly available,Not publicly available,"NOT CONFIRMED: no Kiddie Kampus found in Collegedale - the pages under that name are in TX, NC, CA, IL, OH and WI. May have closed or renamed. Needs a live check of 423-396-9253."
Collegedale Quick Print,Print Shop,C,5010 University Dr,Collegedale,37315,(423) 236-2861,Not publicly available,Not publicly available,"NOT CONFIRMED after two attempts: no page or site for a Quick Print in Collegedale. Other local printers do surface (Dixie Labels in Ooltewah, Southern Printing in Hixson), so this one may have closed or renamed. Needs a live call to 423-236-2861."
"Collegedale Medical Center, PC (Dr. David Winters, DO)",Family Medicine Practice,C,9310 Apison Pike,Collegedale,37315,(423) 396-2136,Not publicly available,Not publicly available,"NOT CONFIRMED: no official site or business-run page found for Collegedale Medical Center PC. Dr David Winters does appear as medical director at Life Care Center of Hixson, so he practises locally. Needs a live check of 423-396-2136."
T.H.I. Electrical Contractors LLC,Electrical Contractor,A,950 Signal Rd,Signal Mountain,37377,(423) 280-0251,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this name; the nearest match is the unrelated T & H Electrical Contractors LLC. Needs a live check of 423-280-0251.
Signal Tree and Dirt Services,Tree Service,A,119 Short Creek Rd,Signal Mountain,37377,(423) 413-2150,Not publicly available,Not publicly available,"NOT CONFIRMED after two attempts: no page or site under this name. Plenty of other Chattanooga tree services surface, so the name may be wrong. Needs a live call to 423-413-2150."
CR Paint Inc,Painting Contractor,A,1506 Layton Ln,Signal Mountain,37377,(423) 779-7907,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found for CR Paint Inc on Signal Mountain. Needs a live check of 423-779-7907.
Gipsy Gourmet Catering,Catering / Restaurant,B,"1309 Taft Hwy, Ste 139",Signal Mountain,37377,(423) 250-3039,Not publicly available,Not publicly available,NOT CONFIRMED: no official site or business-run page found under this name on Signal Mountain. Needs a live check of 423-250-3039.
Educare Day Care & Learning Center,Child Care / Daycare,B,4305 Taft Hwy,Signal Mountain,37377,(423) 517-0065,Not publicly available,Not publicly available,"NOT CONFIRMED: no Educare found on Signal Mountain - the pages under that name are in NH, NC, FL, MS and Memphis. May have closed or renamed. Needs a live check of 423-517-0065."
