sheet_row,business_name,industry,priority,city,phone,email,website
387,Marshal Mize Ford,Ford Dealership / Fleet Sales & Service,A,Hixson,(423) 875-2023,Not publicly available,marshalmizeford.com
388,Hixson Utility District,Water Utility,A,Hixson,(423) 877-3513,customerservice@hixsonutility.com,hixsonutility.com
389,Express Waste Solutions LLC,Waste Management / Recycling,A,Hixson,Not publicly available,Not publicly available,expresswastesolutions.com
390,Speedy's Hixson Transmission and Total Car Care,Auto Repair / Transmission,B,Hixson,(423) 875-2276,profoverdrive@comcast.net,hixsontransmission.com
391,Stanford Plumbing & Heating Co.,Plumbing / HVAC,B,Hixson,Not publicly available,Not publicly available,Not publicly available
392,Bill Owens Heating & Air Inc,HVAC,B,Hixson,(423) 842-8081,Not publicly available,Not publicly available
393,Instant Sign Service,Sign Manufacture & Installation,B,Hixson,(423) 876-9400,Not publicly available,Not publicly available
394,Hyde's Automotive,Auto Repair / Towing,B,Harrison,(423) 344-3677,Not publicly available,takeittohydes.com
395,Scenic City Plumbing,Plumbing,B,Hixson,Not publicly available,Not publicly available,Not publicly available
396,Shine the Light Electric Company,Electrical Contractor,B,Hixson,Not publicly available,Not publicly available,Not publicly available
397,White Star Dry Cleaners,Dry Cleaning / Laundry,C,Hixson,Not publicly available,Not publicly available,Not publicly available
398,Chattanooga Automotive LLC,Pre-Owned Dealer / Sprinter Vans,A,Hixson,(423) 800-5633,chattauto@mail.com,Not publicly available
399,Signs Haus,Signs / Vehicle Wraps,B,Hixson,Not publicly available,Not publicly available,Not publicly available
400,Sunrise EZ Dumpster Rentals,Dumpster / Dump Trailer Rental,B,Hixson,(310) 430-0076,Not publicly available,Not publicly available
401,Northgate Animal Hospital,Veterinary Clinic,C,Hixson,(423) 875-9033,contact@nahtn.com,nahtn.com
402,Hixson Dental Group,Dental Practice,C,Hixson,Not publicly available,Not publicly available,Not publicly available
403,Enterprise Rent-A-Car (Hixson),Car Rental,A,Hixson,(423) 877-5559,Not publicly available,enterprise.com
404,Tire Discounters (Hixson),Tire & Auto Service,B,Hixson,(423) 425-9814,Not publicly available,tirediscounters.com
405,Discount Tire (Hixson),Tire & Auto Service,B,Hixson,(423) 242-2011,Not publicly available,discounttire.com
406,Middle Valley Tire and Alignment Inc,Tire & Auto Service,B,Hixson,(423) 842-3522,Not publicly available,Not publicly available
407,Goodyear Auto Service (Hixson),Tire & Auto Service,B,Hixson,(423) 875-6793,Not publicly available,goodyearautoservice.com
408,Commercial Lease & Finance Corp,Commercial Vehicle & Equipment Leasing,B,Hixson,(800) 596-2777,Not publicly available,commerciallf.com
409,"Compassionate Health Care, LLC",Home Health Care,B,Hixson,(423) 875-2538,Not publicly available,Not publicly available
410,Life Care Center of Hixson,Skilled Nursing / Rehabilitation,C,Hixson,(423) 842-0049,Not publicly available,lifecarecenterofhixson.com
411,The UPS Store 3342 (Hixson),Shipping / Print Services,C,Hixson,(423) 842-1000,Not publicly available,theupsstore.com
412,Highland Tire and Auto Service,Tire & Auto Service,C,Hixson,Not publicly available,Not publicly available,Not publicly available
413,Shelton Construction and Trucking Inc.,Construction / Trucking,A,Hixson,(423) 842-1507,Not publicly available,Not publicly available
414,"Thomas Brothers Construction Company, Inc.",Construction / Grading / Utilities,A,Hixson,(423) 842-6233,Not publicly available,tbccinc.net
415,Winters Roofing,Roofing,B,Hixson,(423) 225-1819,Not publicly available,wintersroofinginc.com
416,AJR Construction,Construction / Decking,B,Hixson,(423) 493-3210,Not publicly available,Not publicly available
417,Rowan Landscapes,Landscaping / Window Cleaning,B,Hixson,(423) 605-8989,Not publicly available,Not publicly available
418,George Grant Company,Industrial Process Equipment & Instrumentation,B,Hixson,(423) 875-3241,Not publicly available,georgegrantco.com
419,VendWell Vending,Vending / Food Service Routes,B,Chattanooga,Not publicly available,Not publicly available,Not publicly available
420,Woodruff Lawn Care,Lawn Care / Landscaping,C,Hixson,(423) 242-8762,Not publicly available,Not publicly available
421,Shelton Landscape Supply,Landscape Supply,C,Hixson,Not publicly available,Not publicly available,Not publicly available
422,Jacklyn Emerson Five Star Cleaning Services,Commercial Cleaning,C,Hixson,Not publicly available,Not publicly available,Not publicly available
423,Chattanooga Propane,Propane Delivery,B,Ooltewah,Not publicly available,Not publicly available,Not publicly available
424,Doyle Electric LLC,Electrical Contractor,B,Hixson,(423) 580-5617,doyleelectric2020@gmail.com,Not publicly available
425,Extreme Excavating LLC,Excavation / Grading,B,Hixson,Not publicly available,Not publicly available,Not publicly available
426,"River City Excavating, LLC",Excavation / Grading,B,Hixson,Not publicly available,Not publicly available,Not publicly available
427,Berean Academy,Private School (Pre-K to 12),B,Hixson,Not publicly available,Not publicly available,Not publicly available
428,Garage Door Doctor,Garage Door Service,C,Hixson,Not publicly available,Not publicly available,Not publicly available
429,Primrose School of Hixson,Early Education / Childcare,C,Hixson,Not publicly available,Not publicly available,Not publicly available
430,Canyon Creek Christian Academy,Private School,C,Hixson,Not publicly available,Not publicly available,Not publicly available
