Business Name,Industry,City,State,ZIP,Street Address,Website,LinkedIn,Employees,Est. Revenue,US Locations,What They Do,Source,Verification Status
"Advanced Waste Management Systems, Inc.",Environmental Services,Hixson,TN,37343,6430 Hixson Pike,awm.net,https://www.linkedin.com/company/awminc-tn,11-50,1M-5M,2,"Offering certifications in ISO 14001, ISO 45001, ISO 50001, SEP, and GHG Verification.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"All Aboard USA, Inc.",Truck Transportation,Hixson,TN,37343,2736 Kanasita Drive,allaboardchatt.com,https://www.linkedin.com/company/all-aboard-usa-inc.,11-50,1M-5M,1,"All Aboard USA, formerly All Aboard Chattanooga, is an experienced bus tour company. We specialize in educational tours, public tours, Boy Scout and Girl Scout tours, and charter tours. All Aboard USA travels to all major desintations including Washington D. C., Orlando, Nashville, Huntsville, St. L","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
AmeriStone Premium Surfaces,Construction,Hixson,TN,37343,8822 Dallas Hollow Road,ameristonecountertops.com,https://www.linkedin.com/company/ameristone-premium-surfaces,11-50,1M-5M,1,"FREE estimate on service. 100% customer satisfaction goal. Superior workmanship. Quartz countertops, granite countertops, solid surface. Call 423-843-0003.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
B&B Crane & Rigging,Construction,Hixson,TN,37343,1103 Thrasher Pike,bbcrane.com,https://www.linkedin.com/company/bbcrane,11-50,10M-25M,2,Servicing the Tennessee Valley and surrounding areas for over 50 years. Originally operating as a Steel Erection Company our company merged strictly to a Mobile Crane and Rigging company in the early 1990's. Our crane services offer Mobile Hydraulic cranes ranging from 15-300 Ton Capacities. Our rig,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Bill Owens Heat & Air Inc,Construction,Hixson,TN,37343,6252 Dayton Boulevard,billowenshvac.com,https://www.linkedin.com/company/bill-owens-heat-air-inc,11-50,1M-5M,1,"We are a Veteran owned and operated business. We specializing in Residential & Lite Commercial HVAC systems ""We offer solutions and solve comfort problems""","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Bill Owens Heating & Air Cond,Construction,Hixson,TN,37343,6252 Dayton Boulevard Number C,billowenshvac.com,https://www.linkedin.com/company/bill-owens-heating-&-air-cond,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Chattanooga Garage Makeovers,Construction,Hixson,TN,37343,7735 Moses Road,chattanoogagaragemakeovers.com,https://www.linkedin.com/company/chattanooga-garage-makeovers,11-50,1M-5M,1,"Chattanooga Garage Makeovers is a construction company based out of 7735 MOSES RD, Hixson, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Chattanooga Painting and Lawncare,Facilities Services,Hixson,TN,37343,4608 Hixson Pike,chattanoogapaintingcompany.com,https://www.linkedin.com/company/chattanooga-painting-and-lawncare,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Chattanooga Septic Tanks,Facilities Services,Hixson,TN,37343,5251-C Highway 153,chattanoogaseptictanks.com,https://www.linkedin.com/company/chattanooga-septic-tanks,11-50,1M-5M,1,"Septic Tank Cleaning, Septic Tank Pumping, Septic Tank Maintenance, Clean Septic Tank, Pump Septic Tank, Chattanooga Septic Tank, Chattanooga Septic Tank Services, Chattanooga Septic Tank Maintenance","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
CREEKSIDE CLOSETS LLC,Construction,Hixson,TN,37343,4728 Adams Road,creeksideclosets.com,https://www.linkedin.com/company/creekside-closets-llc,11-50,1M-5M,1,"Creekside Closets is your destination for custom storage solutions. Armed with more than 20 years of experience, we can design, build, and install organizational systems that perfectly fit your home and budget.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Dakota Concepts Inc,Construction,Hixson,TN,37343,7930 Middle Valley Road,dakotaconceptsinc.com,https://www.linkedin.com/company/dakota-concepts-inc,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"DUCTZ Indoor Air Professionals of Chattanooga, Cleveland, TN and NW Georgia",Construction,Hixson,TN,37343,6921 Middle Valley Road,airductcleaningtn.com,https://www.linkedin.com/company/ductz-indoor-air-professionals-of-chattanooga-cleveland-tn-and-nw-georgia,1-10,1M-5M,1,DUCTZ Indoor Air Professionals was founded in 1997.,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Heritage Fence & Repair, Inc.",Construction,Hixson,TN,37343,5010 Austin Road Suite 107,heritagefencetn.com,https://www.linkedin.com/company/heritage-fence-&-repair,1-10,1M-5M,2,"Heritage Fence & Repair is a family-owned company offering superior quality fencing with courteous customer service at an affordable cost. We are passionate about creating unique, hand-crafted fence designs that add value to your home or business. We believe in providing an honest, professional cust","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Home And Lawn Care Service,Facilities Services,Hixson,TN,37343,6114 Dayton Boulevard,eastsidesalonandspa.com,https://www.linkedin.com/company/home-and-lawn-care-service,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Ivy Construction,Construction,Hixson,TN,37343,1174 Boy Scout Road,ivy-construction.com,https://www.linkedin.com/company/ivy-construction,11-50,10M-25M,2,"Ivy Construction builders of bulkheads, boathouses, piers and docks on lake livingston at the best price and highest quality.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
J Rollins,Construction,Hixson,TN,37343,6252 Dayton Boulevard Number A,jrollinsinc.com,https://www.linkedin.com/company/j-rollins,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
K & K WASTE DISPOSAL LLC,"Water, Waste, Steam, And Air Conditioning Services",Hixson,TN,37343,,kkwaste.com,https://www.linkedin.com/company/k-&-k-waste-disposal-llc,1-10,1M-5M,2,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Local 74,Construction,Hixson,TN,37343,6260 Dayton Boulevard,tncarpenters.com,https://www.linkedin.com/company/local-74,11-50,1M-5M,1,"The MidSouth Carpenters Regional Council governs and provides direction to 6 individual local unions and their approximate 6,000 members throughout Alabama, Mississippi and Tennessee, as well as in parts of western North Carolina, northern Georgia, eastern Arkansas, and the Florida panhandle. Read M","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Martin Brothers Painting,Construction,Hixson,TN,37343,513 Marlow Drive,martinbrotherspainting.com,https://www.linkedin.com/company/martin-brothers-painting,1-10,1M-5M,1,"Martin Brothers Painting is a small two-man Red Bank Tennessee-based painting contractor. My brother Paul and I do all the work. We have worked together for over 30 years painting around the Chattanooga area, first with Dowlen Construction until the fall of 2008 then as Martin Brothers Painting star","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Mayse Construction,Construction,Hixson,TN,37343,8011 Hixson Pike,maysecc.com,https://www.linkedin.com/company/mayse-construction,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Metal Source Inc,Construction,Hixson,TN,37343,2726 Kanasita Drive,metalsourcellc.com,https://www.linkedin.com/company/metal-source-inc,11-50,1M-5M,1,"Metal Source offers scrap management, brokerage, trading, transportation and logistics, and industrial collection. Their customers contact through email, phone, and online applications.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"MIDDLE VALLEY LAWN AND GARDEN, L.L.C.",Wholesale Building Materials,Hixson,TN,37343,6809 Middle Valley Road,middlevalleylawn.com,https://www.linkedin.com/company/middle-valley-lawn-and-garden-l.l.c.,11-50,5M-10M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
North Chickamauga Creek Conservancy,Environmental Services,Hixson,TN,37343,5051 Gann Store Road,northchick.org,https://www.linkedin.com/company/north-chickamauga-creek-conservancy,1-10,500K-1M,1,"North Chickamauga Creek Conservancy (NCCC) is a non-profit organization that is committed to involving the Chattanooga community in preservation, conservation and responsible use of the North Chickamauga Creek watershed and gorge.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Quality Mechanical Group, LLC",Construction,Hixson,TN,37343,4723 Adams Road Suite A,qualitymechgroupllc.com,https://www.linkedin.com/company/quality-mechanical-group-llc,11-50,1M-5M,1,"Mechanical contracting services - ""Quality Contracting for Quality Customers"" Quality Mechanical Group, LLC offers distinctive quality craftsmanship and exceptional customer service on new commercial and industrial construction projects as well as manufacturing maintenance operations. Quick turn-aro","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Red Iron Steel,Building Construction,Hixson,TN,37343,Hixson,redironsteel.net,https://www.linkedin.com/company/red-iron-steel,1-10,1M-5M,1,"Red Iron Steel, a steel fabrication and erection company serving the Chattanooga, TN and surrounding areas. With our unmatched expertise and quality craftsmanship, find out why Red Iron Steel has earned a stellar reputation in the steel industry.""","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
River City Fire Protection,Construction,Hixson,TN,37343,1406 Boy Scout Road,rivercityfireprotection.com,https://www.linkedin.com/company/river-city-fire-protection,11-50,1M-5M,1,"RCFP is a full-service fire protection company located in Chattanooga, servicing SE Tennessee, NW Georgia, and NE Alabama. We do everything - new construction, service, maintenance, emergency calls, extinguishers, alarms, and special hazards systems. Our quality and customer service are second to no","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Stanley Construction Company,Construction,Hixson,TN,37343,2024 Albermarle Drive,stanley-hsv.com,https://www.linkedin.com/company/stanley-construction-company,51-200,10M-25M,1,"Stanley Construction Company specializes in mass excavation, demolition, and asphalt installation services.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Tennessee Roofing & Construction,Construction,Hixson,TN,37343,8427 Hixson Pke,tnroofingconstruction.com,https://www.linkedin.com/company/tennessee-roofing-&-construction,11-50,1M-5M,1,"Since 1994, Tennessee Commercial Roofing & Construction has been providing quality commercial roofing and contracting services to Chattanooga, TN & surrounding area.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
The RLS Group,Construction,Hixson,TN,37343,4728 Adams Road Suite 101,rlshds.com,https://www.linkedin.com/company/therlsgroup,1-10,1M-5M,1,"RLS provides comprehensive land surveying services throughout Tennessee, Georgia and Alabama. Since the inception of The RLS Group, LLC, it has been our goal to provide our customers with high quality, accurate and state of the art services.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
West Home Services LLC,Construction,Hixson,TN,37343,8021 Hale Road,westhomeservices.net,https://www.linkedin.com/company/west-home-services-llc,11-50,1M-5M,1,"Delivering licensed and reliable remodeling contractors, sunrooms, and screen rooms that's cost efficient without compromising quality within Chattanooga, TN.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Post & Oak, LLC",Construction,Apison,TN,37302,11286 First Street,postandoak.co,https://www.linkedin.com/company/post-oak-llc,1-10,1M-5M,1,"We are a full-service design-build company with a focus on understanding the needs of rural property owners, from managing livestock to maintaining acreage to improving the land. We strive to be experts in delivering solutions that respond to the unique challenges and opportunities of rural living. ","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
-RENEW-,Construction,Chattanooga,TN,,2313 East Main Street,renewthenoog.com,https://www.linkedin.com/company/-renew-,1-10,1M-5M,1,Mission: To cultivate urban living and commercial revitalization through historic restoration and sustainable development in the Chattanooga area.,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
2 J Construction Services,Construction,Chattanooga,TN,37421,8115 East Brainerd Road,2jconstruction.com,https://www.linkedin.com/company/2-j-construction-services,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Aa Roofing,Construction,Chattanooga,TN,37416,4717 Briarwood Circle,yelp.com,https://www.linkedin.com/company/aa-roofing,11-50,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Abc Hosiery,Construction,Chattanooga,TN,37406,1609 Elmendorf Street,abchosiery.com,https://www.linkedin.com/company/abc-hosiery,1-10,1M-5M,2,"ABC Hosiery & Apparel supplies wholesale hosiery and apparel products to retailers and resellers. The company offers socks, underwear, fleece, and T-shirts across multiple brands, including Gildan, Comfort Colors, Anvil, American Apparel, Alstyle, and Gold Toe. Its catalog includes mens and womens s","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Ables Painting, LLC",Construction,Chattanooga,TN,37415,776 Mauldeth Road,ablespainting.com,https://www.linkedin.com/company/ables-painting-llc,11-50,1M-5M,1,"Ables Painting, LLC is a repaint specialist company based out Chattanooga, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Abrasive Blasting & Coating,Construction,Chattanooga,TN,37406,1227 Latta Street,abcsurfaces.com,https://www.linkedin.com/company/abrasive-blasting-&-coating,1-10,1M-5M,1,"Abrasive Blasting and Coating (ABC) is an industrial/commercial service company providing surface preparation and coating application for customers located in the southeast United States. We are fully insured, licensed, and permitted facility meeting all state, city, and federal requirements. We are","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
ACCENT MASONRY & CONSTRUCTION LLC,Construction,Chattanooga,TN,37421,6123 East Brainerd Road,billboardlocal.com,https://www.linkedin.com/company/accent-masonry-&-construction-llc,11-50,5M-10M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Ace Lock and Key Service,Facilities Services,Chattanooga,TN,37407,4412 Dodds Avenue,acelockandkey.com,https://www.linkedin.com/company/ace-lock-and-key-service,1-10,500K-1M,1,"Family Owned and Operated, Ace Lock and Key has been in business in the Chattanooga are for over 50 years. We sell a wide variety of locks, deadbolts, padlocks, key accessories, and safes for both Commercial and Residential applications. We also offer Access Control, Security Systems and Restricted ","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"Adams Masonry, Inc.",Construction,Chattanooga,TN,37343,2827 Calhoun Avenue,adamsmasonry.build,https://www.linkedin.com/company/adams-masonry-inc-,51-200,10M-25M,1,"A commercial and industrial masonry contractor doing business in Chattanooga, TN and the surrounding areas. Our focus on safety and quality has helped us grow to where we are today and will help us meet the challenge of any project that comes along.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Adamson Developers,Construction,Chattanooga,TN,37411,3445 Brainerd Road,adamsondevelopers.com,https://www.linkedin.com/company/adamson-developers,1-10,1M-5M,3,"Adamson Developers, LLC has steadily built its solid reputation for developing commercial properties and high quality custom homes. duplexes, townhomes, energy efficient and affordable homes for low income to moderate income clients. Adamson Developers has created inviting communities throughout Cha","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
"ADI Pavement, LLC",Construction,Chattanooga,TN,37421,6020 Pinehurst Avenue,turnitblack.com,https://www.linkedin.com/company/adi-pavement-llc,1-10,1M-5M,1,"ADI PAVEMENT LLC is a construction company based out of 2705 WOOD AVENUE, CHATTANOOGA, Tennessee, United States.","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
AGC East Tennessee,Construction,Chattanooga,TN,37408,101 West 21St Street,agcetn.org,https://www.linkedin.com/company/agc-of-east-tennessee,11-50,1M-5M,1,"AGC East Tennessee (AGC) is a trade association whose membership is comprised of general contractors, construction managers, specialty contractors, service providers, and supplier companies supporting Tennessees commercial construction industry. Since 1920 collectively, we bring a strong, influentia","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
Air Filtration Service,Facilities Services,Chattanooga,TN,37414,,airfiltrationservice.com,https://www.linkedin.com/company/air-filtration-service,1-10,500K-1M,1,"Air Filtration Service (AFS) has been a local business providing world-class specialty filtration and custom-sized filters for commercial and industrial needs in the Chattanooga area since 1987. Their core services include filtration services for HVAC systems, catering to industries such as restaura","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
All About Metal,Construction,Chattanooga,TN,37421,9100 East Brainerd Road,allaboutmetal.com,https://www.linkedin.com/company/all-about-metal,1-10,1M-5M,1,,"Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
AM PM Mobile Repair and Consulting,Truck Transportation,Chattanooga,TN,37444,,ampmmobilerepair.com,https://www.linkedin.com/company/am-pm-mobile-repair,1-10,500K-1M,5,"As a Veteran owned and operated company we know what it takes to be leader. One of our proudest jobs is to further unleash the leader in you by giving you the tools to become that HERO at work. Through innovative ideas you will show your bosses the ability to save time, money, and most important kee","Vibe Prospecting (Explorium) export ds-f4bc136f, 2026-09-03",NOT VERIFIED - dataset carries no phone or email; confirm on the official website before calling
