Business Name,Industry,Lead Priority,Physical Address,City,State,ZIP,Phone,Email,Website,Contact Name,Contact Title,Estimated Fleet Size,Why They Are a Good Prospect,Active Business Evidence,Source 1,Source 2,Verification Date
Economy Honda Superstore,Auto Dealership,A,6001 Lee Hwy,Chattanooga,TN,37421,(855) 225-0161,Not publicly available,economyhonda.com,Not publicly available,Not publicly available,Not publicly verified,High-volume new/used dealer; ADAS-equipped Hondas need recalibration after glass work,Live inventory site and active Yelp presence,Company website,Yelp,2026-09-02
Capital Toyota,Auto Dealership,A,5808 Lee Hwy,Chattanooga,TN,37421,(423) 892-0661,Not publicly available,capitaltoyota.com,Not publicly available,Not publicly available,Not publicly verified,Toyota Safety Sense requires calibration after windshield replacement; large service dept and lot,Active site and 100+ Yelp reviews,Company website,Yelp,2026-09-02
Village Volkswagen of Chattanooga,Auto Dealership,A,6001 International Dr,Chattanooga,TN,37421,(423) 664-9718,Not publicly available,villagevw.com,Not publicly available,Not publicly available,Not publicly verified,Full sales and service dealer; recon/lot-ready vehicles regularly need glass repair,Active site and Yelp reviews,Company website,Yelp,2026-09-02
Crown Chrysler Dodge Jeep Ram Fiat,Auto Dealership,A,2120 Chapman Rd,Chattanooga,TN,37421,(423) 295-9893,Not publicly available,crowncarsofchattanooga.com,Not publicly available,Not publicly available,Not publicly verified,Large truck/SUV inventory (Ram commercial); frequent glass claims from lot damage and trade-ins,Active site and 100+ Yelp reviews,Company website,Yelp,2026-09-02
Mtn View Ford Lincoln,Auto Dealership,A,301 E 20th St,Chattanooga,TN,37408,(423) 756-1331,Not publicly available,mtnviewford.com,Not publicly available,Not publicly available,Not publicly verified,Ford commercial/fleet trucks (F-series) are high-volume glass replacement candidates,Active site and Yelp reviews,Company website,Yelp,2026-09-02
Mtn View Nissan of Chattanooga,Auto Dealership,A,2100 S Market St,Chattanooga,TN,37408,(423) 756-1500,Not publicly available,mtnviewnissan.com,Not publicly available,Not publicly available,Not publicly verified,Full-service dealership with sizable inventory; ADAS-equipped models need calibration,Active site and Yelp reviews,Company website,Yelp,2026-09-02
Kia of Chattanooga,Auto Dealership,A,2136 Chapman Rd,Chattanooga,TN,37421,(423) 855-1022,Not publicly available,kiaofchattanooga.com,Not publicly available,Not publicly available,Not publicly verified,High-turnover new/used lot; potential same-day mobile glass reconditioning partner,Active site with hours posted,Company website,Yelp,2026-09-02
Integrity Buick GMC Cadillac,Auto Dealership,A,6025 International Dr,Chattanooga,TN,37421,(423) 855-0550,Not publicly available,integrityofchattanooga.com,Not publicly available,Not publicly available,Not publicly verified,GMC/Cadillac trucks and SUVs; large lot with service dept upsell potential,Active site and Yelp reviews,Company website,Yelp,2026-09-02
Long Hyundai,Auto Dealership,A,6035 International Dr,Chattanooga,TN,37421,(423) 855-3726,Not publicly available,long-hyundai.com,Not publicly available,Not publicly available,Not publicly verified,Large new/used lot on dealer row; ADAS calibration need on newer Hyundais,Active site and 70+ Yelp reviews,Company website,Yelp,2026-09-02
Mercedes-Benz at Long of Chattanooga,Auto Dealership,A,6039 International Dr,Chattanooga,TN,37421,(423) 855-3726,Not publicly available,mercedesbenzatlong.com,Not publicly available,Not publicly available,Not publicly verified,Luxury vehicles require OEM-quality glass/calibration; warranty-conscious clientele,Active site and Yelp reviews,Company website,Yelp,2026-09-02
Acura of Chattanooga,Auto Dealership,A,2131 Chapman Rd,Chattanooga,TN,37421,(423) 855-5454,Not publicly available,acuraofchattanooga.com,Not publicly available,Not publicly available,Not publicly verified,AcuraWatch ADAS needs recalibration after glass service; active service dept,Active site and Yelp reviews,Company website,Yelp,2026-09-02
